Country Name,Indicator Name,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Prevalence of undernourishment (% of population),,15.2,14.4,13.4,12,10.9,10.8,10.3,10.6,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Proportion of population facing financial hardship due to out-of-pocket health expenditure (%),,,35.76,,,,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Out-of-pocket expenditure per capita, PPP (current international $)",,69.55995793,78.22472931,81.01041247,89.87847373,98.36384118,111.5829432,128.4404694,146.5038791,157.44056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Domestic general government health expenditure per capita (current US$),,5.67753408,7.82326509,8.95284991,9.39170455,7.65134365,7.99174165,9.60347392,8.73902363,7.74334032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"External health expenditure per capita, PPP (current international $)",,7.449401916,6.742900156,6.993022861,7.415013196,4.888298211,5.888914452,6.971057397,6.821739639,6.947669047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Current health expenditure per capita (current US$),,33.20998764,39.30647659,42.17510986,44.78892899,45.07677078,49.0274353,56.09640121,56.62142181,53.46432495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Tuberculosis case detection rate (%, all forms)",,59,62,68,74,80,63,83,70,80,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of severe wasting, weight for height, female (% of children under 5)",,2,,,1.3,2,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Suicide mortality rate, female (per 100,000 female population)",,2.26,2.23,2.27,2.2,2.24,1.98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",,33.6,32.2,30.6,29.1,27.7,26.6,25.7,25.2,24.8,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"People using safely managed sanitation services, urban (% of urban population)",,25.74556519,26.27987083,26.81942433,27.36422568,27.91427488,28.46957193,29.03011682,29.59590958,30.16695018,30.74323863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",,0.16,0.15,0.15,0.13,0.13,0.13,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)",,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),,,,,61.6,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Maternal mortality ratio (national estimate, per 100,000 live births)",,195.862,,172,169,165,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of underweight, weight for age, female (% of children under 5)",,,,,22.1,22.9,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Female genital mutilation prevalence (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Exclusive breastfeeding (% of children under 6 months),,,,,64.95393,62.60072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,ARI treatment (% of children under 5 taken to a health provider),,,,,40.3,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",,,,,,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of current tobacco use, males (% of male adults)",,55.5,,,,,51.7,51.3,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Lifetime risk of maternal death (%),,0.474432965,0.442118125,0.408043916,0.383423809,0.359171966,0.349505915,0.444685296,0.301794246,0.262810155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Use of insecticide-treated bed nets (% of under-5 population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Nurses and midwives (per 1,000 people)",,0.26,0.259,0.304,0.466,0.477,0.548,0.619,0.622,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
